epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1691.6,1.52509,2.20218,1.62766,0.57168,0.45469,0.47459,0.24199,1.65481,1.81934,1.70372,0.0033326,0.0033326,0.0033326
2,3351.8,1.53138,1.83503,1.63441,0.58507,0.4793,0.50057,0.26676,1.62192,1.77372,1.69714,0.00659994,0.00659994,0.00659994
3,4986.52,1.56996,1.84062,1.67789,0.59652,0.48108,0.50573,0.27612,1.60487,1.67765,1.69468,0.00980128,0.00980128,0.00980128
4,6627.97,1.55832,1.81166,1.67751,0.63037,0.50168,0.53498,0.30196,1.55167,1.58213,1.66825,0.009703,0.009703,0.009703
5,8291.32,1.51264,1.73143,1.64511,0.63997,0.50688,0.55005,0.31611,1.51345,1.53952,1.62512,0.009604,0.009604,0.009604
6,9927.25,1.4825,1.68388,1.62343,0.64085,0.52073,0.56118,0.32498,1.50445,1.497,1.61446,0.009505,0.009505,0.009505
